order_id,customer_id,order_date,payment_method
114,91,09-02-2022,Wallet
115,3007,31-08-2022,Net Banking
116,4303,27-12-2022,Credit Card
117,1089,02-09-2022,Wallet
118,4612,01-09-2023,UPI
119,1181,25-05-2022,Net Banking
120,1902,22-07-2023,UPI
121,4491,30-01-2022,Wallet
122,187,12-09-2023,Debit Card
123,1598,27-12-2023,Debit Card
124,3409,04-03-2023,Debit Card
125,3748,17-01-2023,UPI
126,2671,29-03-2023,UPI
127,4826,08-09-2023,UPI
128,240,30-06-2022,Debit Card
129,2581,13-05-2023,Wallet
130,4237,01-10-2023,Debit Card
131,139,17-07-2022,Wallet
132,2507,09-12-2022,Wallet
133,4166,02-02-2022,Wallet
134,4481,30-11-2022,Net Banking
135,4726,22-08-2022,UPI
136,2246,02-07-2023,Wallet
137,4301,14-06-2023,Wallet
138,1750,04-03-2023,Wallet
139,568,23-09-2022,UPI
140,4901,22-10-2022,Net Banking
141,882,16-03-2023,UPI
142,640,15-07-2023,Debit Card
143,3962,24-07-2023,UPI
144,4421,28-11-2022,UPI
145,4538,31-05-2022,Credit Card
146,4900,09-10-2023,Credit Card
147,2336,28-10-2022,Net Banking
148,4322,11-12-2022,UPI
149,2986,07-11-2022,Credit Card
150,560,28-09-2023,UPI
151,714,02-07-2022,Wallet
152,4594,18-12-2023,Credit Card
153,3989,27-05-2022,Credit Card
154,257,13-09-2023,Credit Card
155,577,30-05-2022,UPI
156,38,24-09-2022,Wallet
157,2073,05-05-2023,UPI
158,4506,11-05-2022,Credit Card
159,461,27-05-2022,Wallet
160,1441,26-08-2023,Credit Card
161,4479,10-01-2023,Net Banking
162,1833,30-04-2023,Wallet
163,4665,19-05-2023,Net Banking
164,3400,19-05-2023,Debit Card
165,433,07-08-2022,Credit Card
166,4152,10-05-2023,Debit Card
167,1752,30-06-2023,UPI
168,2048,11-01-2022,Net Banking
169,4998,18-09-2022,Debit Card
170,2841,12-03-2022,Debit Card
171,257,13-06-2022,Credit Card
172,672,18-09-2022,Wallet
173,490,27-11-2023,Credit Card
174,3715,07-10-2023,Credit Card
175,2097,15-02-2023,UPI
176,1683,20-02-2023,Net Banking
177,4412,11-12-2022,UPI
178,2461,22-08-2022,Wallet
179,4530,15-01-2022,Debit Card
180,3913,09-09-2023,Net Banking
181,1976,20-12-2022,UPI
182,3217,28-04-2023,UPI
183,1390,14-03-2023,Wallet
184,4516,20-01-2022,Debit Card
185,3857,17-04-2023,Debit Card
186,1585,11-06-2022,Net Banking
187,4940,01-10-2023,Net Banking
188,2964,03-02-2022,Credit Card
189,4530,25-04-2022,Wallet
190,977,06-03-2023,Net Banking
191,3365,21-01-2022,Wallet
192,46,16-06-2022,Net Banking
193,1194,23-10-2022,Wallet
194,3343,21-06-2022,Credit Card
195,4513,13-06-2022,UPI
196,4944,05-08-2022,UPI
197,247,18-07-2022,Debit Card
198,3220,19-02-2022,Credit Card
199,4326,13-05-2023,UPI
200,792,18-03-2023,Credit Card
201,637,26-11-2022,Net Banking
202,3776,26-11-2022,Debit Card
203,2422,21-10-2022,Credit Card
204,4834,07-10-2022,Net Banking
205,1089,30-12-2022,Net Banking
206,4184,25-07-2023,Debit Card
207,3160,22-06-2022,Wallet
208,713,03-06-2022,Debit Card
209,4697,07-05-2023,Net Banking
210,3645,18-08-2023,Credit Card
211,3891,24-09-2022,UPI
212,2587,02-10-2023,UPI
213,4310,29-11-2023,Net Banking
214,2109,22-02-2023,Credit Card
215,4794,29-09-2022,Debit Card
216,3615,19-03-2023,UPI
217,1243,28-05-2023,Net Banking
218,2060,16-02-2023,Wallet
219,3487,15-01-2022,UPI
220,4333,21-03-2022,UPI
221,3811,17-11-2023,Net Banking
222,3901,28-06-2023,Wallet
223,2606,05-07-2023,Net Banking
224,4743,06-12-2023,UPI
225,3035,28-08-2022,Net Banking
226,4569,08-08-2023,UPI
227,4208,28-08-2023,Credit Card
228,4052,30-03-2022,Net Banking
229,3364,11-09-2022,Debit Card
230,4022,19-05-2022,Net Banking
231,1846,11-12-2023,Credit Card
232,383,17-10-2022,UPI
233,4113,02-11-2022,Credit Card
234,4589,21-06-2022,Credit Card
235,3811,10-06-2023,Net Banking
236,1897,24-11-2022,Debit Card
237,1510,02-06-2022,Debit Card
238,4213,09-12-2023,Net Banking
239,1579,27-06-2022,Debit Card
240,880,30-08-2023,Debit Card
241,2163,20-02-2023,Debit Card
242,1573,07-11-2022,Wallet
243,1649,13-08-2023,Credit Card
244,4740,01-09-2022,UPI
245,1360,13-02-2023,Wallet
246,4432,08-08-2022,UPI
247,2970,20-12-2023,Net Banking
248,3961,12-03-2023,Wallet
249,3812,03-07-2022,Credit Card
250,4243,19-09-2023,UPI
251,4218,04-05-2022,Wallet
252,81,26-08-2022,Net Banking
253,2733,12-09-2023,UPI
254,2710,10-02-2023,Credit Card
255,2423,13-07-2023,Credit Card
256,3642,17-07-2022,UPI
257,4600,17-07-2023,Credit Card
258,668,07-12-2023,UPI
259,2497,05-08-2023,Net Banking
260,3500,28-03-2022,UPI
261,3499,16-03-2022,UPI
262,1445,06-12-2023,UPI
263,1346,29-11-2022,UPI
264,1190,07-03-2023,Wallet
265,459,05-01-2023,Credit Card
266,1213,13-02-2022,Credit Card
267,4560,24-10-2022,Debit Card
268,912,11-04-2023,Wallet
269,1026,07-09-2022,Credit Card
270,2412,26-02-2023,Wallet
271,72,18-04-2023,UPI
272,2686,30-09-2022,UPI
273,1194,22-06-2022,Credit Card
274,1849,24-08-2022,Net Banking
275,2385,15-02-2022,Credit Card
276,2023,27-01-2023,Net Banking
277,3742,17-10-2023,UPI
278,4749,21-08-2022,Debit Card
279,1299,21-02-2023,UPI
280,4103,23-09-2022,Wallet
281,905,09-07-2022,UPI
282,3027,02-07-2022,UPI
283,2029,23-12-2022,Wallet
284,4712,04-12-2023,UPI
285,2621,19-05-2022,Credit Card
286,2647,01-07-2023,UPI
287,4866,20-05-2023,Wallet
288,2290,27-04-2023,UPI
289,3873,18-12-2022,Wallet
290,1486,08-12-2022,Net Banking
291,3152,06-10-2023,Wallet
292,1441,14-03-2022,Debit Card
293,766,12-06-2022,Credit Card
294,4480,11-08-2022,UPI
295,2439,04-07-2022,Credit Card
296,4093,05-04-2022,UPI
297,4784,15-11-2023,Net Banking
298,1150,05-11-2022,Credit Card
299,3566,28-05-2022,UPI
300,4143,15-11-2022,Net Banking
301,1973,28-06-2022,Debit Card
302,2667,16-10-2023,UPI
303,464,18-10-2022,Net Banking
304,4219,14-09-2023,Debit Card
305,2182,12-05-2023,Debit Card
306,1643,28-10-2022,Debit Card
307,3889,10-06-2022,UPI
308,841,02-03-2022,Net Banking
309,2655,13-03-2022,UPI
310,4119,13-03-2023,Wallet
311,566,27-04-2023,Credit Card
312,965,25-04-2022,Net Banking
313,2283,25-07-2022,Net Banking
314,996,30-11-2022,UPI
315,1188,02-11-2022,Wallet
316,4922,08-07-2023,Net Banking
317,4312,16-06-2023,Wallet
318,3255,27-08-2023,Credit Card
319,657,03-08-2023,Net Banking
320,2983,15-05-2022,Wallet
321,1114,01-08-2023,Wallet
322,4407,31-05-2022,Wallet
323,557,02-07-2023,Wallet
324,3020,20-05-2022,UPI
325,2305,11-02-2023,Net Banking
326,2581,05-05-2023,UPI
327,52,24-07-2022,Wallet
328,1362,22-10-2022,Debit Card
329,1195,05-08-2023,Net Banking
330,4020,02-11-2023,UPI
331,3139,03-07-2022,Wallet
332,1649,18-01-2022,Wallet
333,672,18-01-2023,Net Banking
334,778,25-07-2023,Credit Card
335,4928,13-09-2023,Net Banking
336,2280,05-10-2023,UPI
337,3023,26-06-2023,Credit Card
338,1861,23-05-2023,Net Banking
339,3140,11-07-2022,Net Banking
340,1075,17-07-2022,Net Banking
341,1717,30-08-2022,Debit Card
342,1284,01-04-2022,Net Banking
343,4687,02-01-2022,UPI
344,1987,01-09-2023,Wallet
345,2634,10-04-2023,UPI
346,1002,12-10-2022,Net Banking
347,1047,04-01-2022,Credit Card
348,2177,26-08-2022,Debit Card
349,2339,06-07-2023,Debit Card
350,1856,15-03-2023,Debit Card
351,501,25-01-2023,Credit Card
352,2234,25-11-2022,Credit Card
353,4575,29-08-2022,Credit Card
354,2540,07-09-2023,Credit Card
355,4609,10-05-2023,UPI
356,3715,02-03-2022,Wallet
357,2333,03-03-2022,Credit Card
358,601,28-03-2023,Wallet
359,4285,04-10-2022,Net Banking
360,989,08-06-2022,Wallet
361,1882,27-08-2022,Net Banking
362,4484,12-02-2022,Debit Card
363,1755,17-02-2023,Net Banking
364,2465,15-03-2023,UPI
365,2224,10-11-2022,Net Banking
366,4483,01-06-2022,Debit Card
367,1495,21-03-2022,Debit Card
368,853,17-05-2022,Wallet
369,452,26-12-2023,Wallet
370,2325,26-03-2023,Debit Card
371,1759,21-01-2023,Net Banking
372,4309,08-11-2023,Net Banking
373,3354,18-01-2023,Credit Card
374,4137,14-06-2022,UPI
375,4696,10-12-2023,Net Banking
376,3339,29-10-2022,Debit Card
377,2589,17-02-2022,UPI
378,1783,07-05-2022,Wallet
379,3521,03-01-2023,Debit Card
380,1780,10-10-2023,Debit Card
381,3133,01-02-2022,Wallet
382,3574,22-05-2023,Net Banking
383,3219,05-09-2023,Wallet
384,3758,18-03-2022,Debit Card
385,4017,08-12-2023,Net Banking
386,2838,20-07-2022,Wallet
387,2382,09-03-2022,Net Banking
388,4240,28-01-2022,UPI
389,3937,04-02-2023,Net Banking
390,4429,26-02-2022,Debit Card
391,1420,22-07-2022,Wallet
392,4151,21-07-2023,Net Banking
393,1331,24-03-2022,Credit Card
394,2918,10-09-2023,Wallet
395,1447,08-09-2022,Wallet
396,1441,08-12-2022,Credit Card
397,3745,27-02-2023,Net Banking
398,2845,15-03-2023,UPI
399,4176,18-02-2023,Debit Card
400,865,13-05-2022,UPI
401,472,05-03-2023,Debit Card
402,1503,05-12-2023,Debit Card
403,4685,28-06-2023,Wallet
404,1411,02-09-2023,Debit Card
405,3771,25-09-2022,Wallet
406,1906,17-04-2022,Credit Card
407,4660,07-03-2022,Debit Card
408,4002,21-02-2022,Credit Card
409,3505,12-12-2023,UPI
410,3484,15-10-2022,Wallet
411,4563,20-08-2022,Wallet
412,599,12-06-2022,Net Banking
413,992,29-08-2022,Debit Card
414,1933,25-01-2023,Net Banking
415,2785,22-01-2022,Net Banking
416,3042,30-12-2023,Credit Card
417,67,18-11-2023,Wallet
418,3399,08-05-2023,Credit Card
419,2751,15-11-2023,Wallet
420,470,05-06-2023,Wallet
421,1725,28-12-2022,Net Banking
422,3986,28-02-2022,Credit Card
423,1632,30-04-2023,Credit Card
424,775,21-09-2023,Wallet
425,3013,11-04-2022,Credit Card
426,2504,06-12-2022,Debit Card
427,1487,01-05-2023,Credit Card
428,4020,20-11-2023,UPI
429,4228,16-01-2022,Credit Card
430,930,13-05-2023,Debit Card
431,3013,01-05-2022,Credit Card
432,1506,02-08-2022,Debit Card
433,4730,26-11-2022,UPI
434,2945,25-03-2022,Net Banking
435,2820,30-06-2022,Wallet
436,1185,21-01-2023,Wallet
437,289,19-11-2022,Wallet
438,1812,08-07-2023,UPI
439,528,24-03-2023,UPI
440,917,14-03-2022,Debit Card
441,1709,12-09-2022,UPI
442,3575,01-12-2023,Net Banking
443,3320,17-10-2022,Debit Card
444,1407,15-05-2023,Net Banking
445,1242,31-08-2023,Net Banking
446,3134,11-08-2023,Credit Card
447,799,02-01-2022,Wallet
448,1524,18-01-2023,Net Banking
449,4108,21-11-2023,Wallet
450,4929,22-04-2022,Debit Card
451,2889,23-07-2022,Wallet
452,2691,26-01-2022,UPI
453,4092,18-04-2022,Wallet
454,1242,08-11-2023,UPI
455,691,21-07-2023,Credit Card
456,528,01-10-2022,Credit Card
457,1496,26-06-2023,Net Banking
458,3826,17-01-2022,UPI
459,2894,09-04-2023,UPI
460,893,25-10-2022,Wallet
461,387,16-08-2023,Credit Card
462,1250,31-01-2023,UPI
463,2529,27-01-2022,Debit Card
464,4504,02-07-2022,Credit Card
465,3529,31-05-2023,Net Banking
466,898,06-11-2023,Net Banking
467,711,25-03-2023,Credit Card
468,3696,28-11-2022,UPI
469,2687,07-08-2023,Net Banking
470,4513,01-04-2023,Credit Card
471,416,11-08-2023,Wallet
472,1472,24-02-2023,UPI
473,4181,28-08-2022,Credit Card
474,4263,27-05-2023,Wallet
475,2432,17-10-2022,Debit Card
476,2516,15-03-2023,Net Banking
477,1096,07-06-2023,Credit Card
478,810,25-07-2023,UPI
479,3045,16-09-2022,Wallet
480,993,15-12-2023,Credit Card
481,1282,25-09-2022,Credit Card
482,4371,23-04-2022,Wallet
483,1774,08-08-2023,Credit Card
484,3562,09-02-2023,UPI
485,3817,06-02-2023,Net Banking
486,1757,24-08-2022,UPI
487,2374,06-01-2022,UPI
488,2577,24-08-2023,Net Banking
489,892,24-04-2022,Credit Card
490,4185,31-12-2022,Wallet
491,708,17-11-2022,Wallet
492,2398,07-11-2022,Debit Card
493,4483,17-06-2022,UPI
494,2135,21-02-2022,Net Banking
495,2355,27-10-2022,Wallet
496,4536,03-03-2022,Net Banking
497,977,25-03-2022,Wallet
498,735,19-12-2022,Net Banking
499,2469,31-10-2023,UPI
500,2541,18-05-2023,Debit Card
501,633,21-10-2023,Debit Card
502,4269,20-04-2023,UPI
503,4100,27-09-2023,Credit Card
504,2902,18-05-2023,Credit Card
505,1664,25-11-2023,Net Banking
506,2016,09-04-2022,UPI
507,3182,03-12-2023,UPI
508,4064,02-11-2022,Net Banking
509,2631,11-11-2022,Net Banking
510,3873,11-12-2023,Wallet
511,1055,18-03-2023,Debit Card
512,381,04-09-2022,Wallet
513,3083,22-09-2022,Net Banking
514,2392,23-07-2023,Net Banking
515,1593,01-03-2023,Net Banking
516,4262,27-02-2022,Wallet
517,2748,29-04-2023,Debit Card
518,2390,20-11-2022,Net Banking
519,3554,05-07-2022,Credit Card
520,3028,14-05-2023,Debit Card
521,1208,03-03-2022,Credit Card
522,3854,16-08-2023,Credit Card
523,545,03-09-2022,Debit Card
524,3082,02-05-2023,Credit Card
525,3664,08-01-2023,UPI
526,2240,30-05-2023,Wallet
527,2368,20-02-2022,Net Banking
528,3774,09-09-2023,UPI
529,2628,09-04-2022,Net Banking
530,3932,19-11-2022,Net Banking
531,2475,15-08-2023,UPI
532,3131,17-03-2023,Net Banking
533,3508,08-02-2023,Debit Card
534,97,21-02-2023,Wallet
535,3859,14-11-2023,Net Banking
536,2709,04-06-2022,Wallet
537,3337,26-06-2023,Credit Card
538,457,03-09-2023,Net Banking
539,4369,26-05-2022,Credit Card
540,2988,23-08-2022,Wallet
541,4089,19-04-2023,UPI
542,3885,03-02-2023,Wallet
543,1032,03-09-2023,Debit Card
544,208,05-04-2023,Debit Card
545,1938,03-12-2023,Wallet
546,1147,09-03-2023,Wallet
547,4300,14-09-2022,Credit Card
548,2565,16-12-2023,Credit Card
549,443,15-03-2023,Net Banking
550,4785,21-06-2023,Credit Card
551,833,24-06-2022,UPI
552,1462,14-12-2023,UPI
553,3517,06-05-2023,Credit Card
554,1160,10-10-2022,Wallet
555,387,28-08-2023,Wallet
556,2042,16-07-2023,UPI
557,2554,07-08-2022,Wallet
558,1719,05-06-2022,Debit Card
559,4776,26-02-2022,Wallet
560,4051,26-05-2023,UPI
561,3410,04-12-2022,Net Banking
562,690,20-12-2023,Credit Card
563,1170,29-09-2022,Credit Card
564,4989,28-12-2023,Net Banking
565,953,03-07-2022,Debit Card
566,4880,18-10-2022,Debit Card
567,4591,29-10-2022,Net Banking
568,3497,02-08-2023,Wallet
569,3918,04-09-2022,UPI
570,4843,16-01-2022,Debit Card
571,2485,01-12-2022,Debit Card
572,1855,30-07-2022,Net Banking
573,3440,09-08-2023,Net Banking
574,3232,08-01-2023,Debit Card
575,2598,10-02-2023,Wallet
576,3984,14-06-2023,Credit Card
577,2192,22-01-2022,Credit Card
578,2636,10-09-2023,Credit Card
579,657,29-04-2022,Credit Card
580,3813,12-06-2023,Debit Card
581,3341,03-07-2022,Debit Card
582,3912,30-05-2023,Credit Card
583,1797,07-05-2023,Credit Card
584,4364,21-05-2023,Wallet
585,1763,27-09-2023,Wallet
586,4473,13-03-2023,Wallet
587,3286,15-04-2022,UPI
588,1586,13-04-2022,Wallet
589,3564,27-07-2022,Wallet
590,2441,23-10-2023,Debit Card
591,4585,06-12-2023,Credit Card
592,4818,16-02-2022,Wallet
593,3101,31-10-2022,Wallet
594,3245,16-06-2022,Wallet
595,1041,09-05-2023,Debit Card
596,3128,28-03-2022,UPI
597,2274,14-08-2022,Net Banking
598,3630,30-04-2022,Credit Card
599,2115,05-09-2022,Debit Card
600,1678,20-05-2023,Debit Card
601,3095,19-12-2022,Debit Card
602,999,24-05-2022,Wallet
603,2285,16-12-2022,Debit Card
604,1590,30-05-2023,Net Banking
605,1162,13-11-2022,Debit Card
606,2521,26-01-2022,UPI
607,3856,14-06-2023,Credit Card
608,4649,18-11-2022,Wallet
609,695,23-10-2022,Credit Card
610,4413,11-05-2022,Credit Card
611,4864,17-01-2022,Debit Card
612,3799,05-08-2023,Debit Card
613,3684,04-07-2022,Wallet
614,1972,18-02-2022,Wallet
615,1504,17-03-2022,Credit Card
616,3250,12-06-2023,Wallet
617,4219,06-01-2022,Debit Card
618,3243,03-02-2022,Net Banking
619,1869,28-02-2022,Debit Card
620,1672,08-03-2022,Credit Card
621,1083,12-09-2022,Debit Card
622,1729,07-02-2023,UPI
623,3852,06-06-2022,Net Banking
624,2143,01-02-2022,Net Banking
625,1149,10-01-2022,Debit Card
626,254,05-12-2023,Wallet
627,4103,10-01-2023,Credit Card
628,3543,15-12-2022,Wallet
629,2776,12-08-2023,Debit Card
630,4638,16-06-2023,Credit Card
631,3334,05-06-2022,Net Banking
632,4185,27-01-2022,Credit Card
633,3280,02-06-2022,UPI
634,4309,12-10-2022,Debit Card
635,2882,20-09-2023,Debit Card
636,266,07-09-2022,Wallet
637,2341,05-03-2023,UPI
638,3149,11-07-2023,Wallet
639,3360,13-10-2022,UPI
640,1005,21-05-2023,Net Banking
641,2095,21-10-2022,Credit Card
642,4718,20-03-2023,Net Banking
643,3272,15-10-2022,Credit Card
644,4523,02-11-2022,Wallet
645,210,12-03-2022,UPI
646,888,12-06-2022,Credit Card
647,154,26-04-2023,Net Banking
648,3594,11-08-2023,Debit Card
649,415,09-12-2022,Debit Card
650,3425,01-06-2023,Debit Card
651,1285,17-04-2022,Wallet
652,3149,23-09-2023,Net Banking
653,769,01-09-2023,Credit Card
654,983,24-11-2023,Net Banking
655,3203,13-05-2023,Net Banking
656,4675,01-01-2022,Wallet
657,3527,21-08-2023,Credit Card
658,2788,21-04-2023,Credit Card
659,2211,29-03-2023,Net Banking
660,1039,06-03-2022,Net Banking
661,3933,30-04-2023,Debit Card
662,542,07-09-2023,Net Banking
663,359,26-02-2023,UPI
664,850,20-06-2023,Debit Card
665,4523,31-05-2022,UPI
666,2545,26-01-2023,Net Banking
667,4582,19-02-2023,Net Banking
668,1832,07-01-2022,Wallet
669,1473,31-05-2023,Net Banking
670,1437,25-11-2023,Wallet
671,330,11-04-2023,Wallet
672,4355,14-04-2022,Credit Card
673,4239,09-04-2023,Wallet
674,4009,18-07-2023,Credit Card
675,4723,17-08-2023,Credit Card
676,1389,14-07-2023,Debit Card
677,4186,17-12-2022,Credit Card
678,720,30-12-2023,Debit Card
679,3236,01-01-2023,Debit Card
680,4577,01-07-2022,Debit Card
681,2132,31-08-2022,Net Banking
682,1101,08-08-2022,Wallet
683,673,27-07-2022,Wallet
684,517,01-10-2023,UPI
685,2533,01-07-2022,UPI
686,3671,05-03-2023,Net Banking
687,782,04-02-2022,Credit Card
688,3524,06-11-2023,UPI
689,3559,25-02-2023,UPI
690,2387,22-07-2022,Debit Card
691,4783,11-06-2022,UPI
692,1590,12-02-2023,Wallet
693,4996,15-12-2022,Debit Card
694,1502,04-01-2022,Net Banking
695,3795,27-12-2022,Net Banking
696,4319,13-08-2023,Net Banking
697,3081,26-10-2023,Debit Card
698,1077,24-12-2022,UPI
699,1101,20-09-2023,UPI
700,503,05-02-2022,Wallet
701,1340,01-12-2022,Debit Card
702,3886,18-10-2022,Debit Card
703,624,12-10-2022,Wallet
704,1887,05-02-2022,UPI
705,3351,20-11-2022,UPI
706,1051,08-04-2023,Credit Card
707,3773,30-01-2023,Credit Card
708,3917,21-07-2023,Credit Card
709,4019,18-02-2022,Credit Card
710,1330,08-04-2023,UPI
711,4115,09-11-2022,Net Banking
712,3368,21-12-2022,Debit Card
713,3952,09-12-2022,Credit Card
714,2498,24-02-2022,Net Banking
715,1574,08-11-2022,Credit Card
716,2635,17-09-2022,Wallet
717,2769,04-10-2023,Credit Card
718,1212,29-03-2022,Wallet
719,776,16-11-2022,Debit Card
720,1161,25-01-2023,Credit Card
721,2384,27-09-2022,Wallet
722,2655,05-04-2023,Debit Card
723,3541,27-12-2022,Credit Card
724,4698,06-05-2022,Credit Card
725,4636,04-07-2022,UPI
726,1096,31-12-2022,Net Banking
727,24,26-06-2023,Net Banking
728,4720,21-12-2023,Debit Card
729,3557,08-01-2022,Wallet
730,1080,16-10-2023,Net Banking
731,4319,25-12-2023,Wallet
732,179,18-02-2023,Wallet
733,2848,12-05-2022,Net Banking
734,1961,22-12-2022,Net Banking
735,1474,19-11-2022,Wallet
736,4889,12-04-2022,Wallet
737,4980,11-04-2023,Credit Card
738,1213,05-03-2023,Credit Card
739,810,16-03-2022,Wallet
740,420,10-04-2022,Net Banking
741,3660,24-08-2022,Credit Card
742,3817,26-09-2022,Wallet
743,1279,21-07-2023,Wallet
744,2524,11-09-2022,Debit Card
745,1441,28-12-2023,Debit Card
746,1341,25-11-2022,Wallet
747,2222,26-10-2022,Wallet
748,2393,05-01-2023,Wallet
749,1362,02-11-2023,Credit Card
750,592,16-09-2022,UPI
751,527,16-08-2022,Credit Card
752,2504,12-01-2023,Wallet
753,1293,25-05-2022,Credit Card
754,1655,21-03-2022,UPI
755,4907,08-02-2022,UPI
756,188,07-12-2023,UPI
757,2759,10-12-2023,Wallet
758,529,07-04-2022,Net Banking
759,434,03-09-2022,Net Banking
760,3513,29-11-2022,Net Banking
761,1805,11-08-2023,Debit Card
762,303,07-02-2023,Net Banking
763,4183,05-10-2022,Wallet
764,438,08-01-2022,Wallet
765,2589,30-12-2022,Debit Card
766,833,28-03-2023,Wallet
767,797,12-12-2023,Wallet
768,560,09-09-2022,Debit Card
769,3589,18-01-2022,Debit Card
770,762,25-01-2023,Debit Card
771,3575,30-08-2022,Wallet
772,3786,10-09-2022,Debit Card
773,2515,04-01-2022,UPI
774,685,08-01-2023,Credit Card
775,4234,01-03-2023,Debit Card
776,578,28-06-2022,Debit Card
777,4806,12-01-2022,Debit Card
778,228,20-10-2022,Debit Card
779,2329,16-09-2022,Credit Card
780,2732,05-03-2023,Wallet
781,828,20-08-2023,Net Banking
782,431,22-10-2022,UPI
783,1064,29-11-2022,Wallet
784,1710,22-04-2022,Debit Card
785,1235,25-07-2022,Wallet
786,302,10-08-2022,UPI
787,1421,14-06-2023,Wallet
788,4629,13-01-2022,Wallet
789,769,27-09-2022,Debit Card
790,1405,07-07-2023,Credit Card
791,444,09-02-2022,Net Banking
792,3105,20-05-2023,Wallet
793,4356,24-08-2023,Credit Card
794,3306,05-09-2023,Net Banking
795,1539,03-08-2022,UPI
796,3931,31-10-2022,UPI
797,1332,06-06-2023,Wallet
798,70,30-12-2023,Net Banking
799,3436,01-05-2022,UPI
800,481,06-11-2022,Debit Card
801,4095,06-11-2023,Credit Card
802,3497,26-10-2023,Wallet
803,2794,01-11-2022,UPI
804,2893,02-03-2023,Credit Card
805,1199,04-04-2023,Debit Card
806,2373,19-08-2023,Wallet
807,1893,21-07-2022,Wallet
808,1884,16-07-2023,UPI
809,798,23-10-2023,Wallet
810,18,16-02-2023,Credit Card
811,44,08-08-2022,Net Banking
